Target_Alpha (%),Scoring_Model,Mean_Tau,Expected_Image_Risk,Risk_Std,Coverage_Pct,SAY_Pct,Total_Hits,Total_False_Alarms,Risk_95%_CI,Marginal_Bound_Holds
10,M1: Raw YOLOv8s,0.54944,5.968,3.6305605627781503,8.738,7.303999999999999,151,30,"[1.46%, 10.48%]",True
10,M2: Conf-Only Platt,0.8246399999999999,5.968,3.6305605627781503,8.738,7.303999999999999,151,30,"[1.46%, 10.48%]",True
10,M4: Conf+Consistency,0.8840199999999999,2.6,1.950179478919825,5.616,5.044,102,11,"[0.18%, 5.02%]",True
10,M6: AquaTrust (Ours),0.83152,6.401999999999999,5.112046556908495,10.057999999999998,8.446000000000002,172,33,"[0.06%, 12.75%]",True
15,M1: Raw YOLOv8s,0.47464000000000006,8.370000000000001,5.371182365178081,14.16,11.692,244,52,"[1.70%, 15.04%]",True
15,M2: Conf-Only Platt,0.7567600000000001,8.370000000000001,5.371182365178081,14.16,11.692,244,52,"[1.70%, 15.04%]",True
15,M4: Conf+Consistency,0.7994199999999999,11.106,8.498754614647961,13.016,10.72,221,47,"[0.56%, 21.66%]",True
15,M6: AquaTrust (Ours),0.78108,10.154,5.3867225657165605,14.445999999999998,11.58,240,60,"[3.47%, 16.84%]",True
20,M1: Raw YOLOv8s,0.42135999999999996,14.048000000000002,6.175121051445065,19.5,14.896,314,99,"[6.38%, 21.71%]",True
20,M2: Conf-Only Platt,0.69734,14.048000000000002,6.175121051445065,19.5,14.896,314,99,"[6.38%, 21.71%]",True
20,M4: Conf+Consistency,0.7268800000000001,16.14,7.695677358101754,19.91,15.184000000000001,315,99,"[6.59%, 25.69%]",True
20,M6: AquaTrust (Ours),0.6772,19.232,5.130391797903938,24.48,17.918,376,140,"[12.86%, 25.60%]",True
25,M1: Raw YOLOv8s,0.36996,21.466,5.444628545640189,26.360000000000003,18.544,389,166,"[14.71%, 28.23%]",True
25,M2: Conf-Only Platt,0.63136,21.466,5.444628545640189,26.360000000000003,18.544,389,166,"[14.71%, 28.23%]",True
25,M4: Conf+Consistency,0.62474,24.764,4.079917891330658,29.78,21.032,439,186,"[19.70%, 29.83%]",True
25,M6: AquaTrust (Ours),0.62718,25.156,10.111660595569848,30.944,21.452,448,201,"[12.60%, 37.71%]",False
30,M1: Raw YOLOv8s,0.33596,29.094,6.848826906850544,31.846000000000004,20.916,440,233,"[20.59%, 37.60%]",True
30,M2: Conf-Only Platt,0.58544,29.094,6.848826906850544,31.846000000000004,20.916,440,233,"[20.59%, 37.60%]",True
30,M4: Conf+Consistency,0.5727,28.65,2.0486825034641165,35.552,24.096,504,244,"[26.11%, 31.19%]",True
30,M6: AquaTrust (Ours),0.5827600000000001,30.49,8.917628608548352,36.769999999999996,23.898000000000003,502,276,"[19.42%, 41.56%]",False
